name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),soup
Cake Of The Day,No,No,3.2,4,Basavanagudi,Bakery,Bakery,150,Delivery,Basavanagudi,bakery bakery basavanagudi
Mr. Chaiwala,No,No,3.700448817952718,0,Kalyan Nagar,Quick Bites,North Indian,100,Delivery,Kalyan Nagar,north indian quick bites kalyannagar
Potful,Yes,No,3.8,832,Sarjapur Road,Delivery,"Biryani, Kebab, Rolls, Mughlai",650,Delivery,Bellandur,biryani kebab rolls mughlai delivery bellandur
Healthy Hawker,No,No,3.700448817952718,0,Banaswadi,"Takeaway, Delivery",Healthy Food,300,Delivery,Kalyan Nagar,healthy food takeaway delivery kalyannagar
The Taste Players,Yes,No,3.7,51,Whitefield,Casual Dining,"North Indian, Chinese, Mughlai, Biryani",500,Delivery,Whitefield,north indian chinese mughlai biryani casual dining whitefield
Bake and Juice,Yes,No,3.5,15,BTM,Quick Bites,"Fast Food, Beverages",400,Delivery,Basavanagudi,fast food beverages quick bites basavanagudi
Bhaijaan Barbeques,Yes,No,3.4,8,South Bangalore,Food Truck,"Mughlai, Arabian, BBQ",200,Delivery,Bannerghatta Road,mughlai arabian bbq food truck bannerghattaroad
Cakes And Crumbs,No,No,3.4,8,JP Nagar,Dessert Parlor,Bakery,350,Desserts,Bannerghatta Road,bakery dessert parlor bannerghattaroad
Campus Juice Corner,No,No,3.3,6,Kumaraswamy Layout,Quick Bites,"Fast Food, Juices",100,Dine-out,JP Nagar,fast food juices quick bites jpnagar
Amjad Bhai's Star Hotel - Home Food Only,No,No,3.700448817952718,0,BTM,Quick Bites,"North Indian, South Indian",300,Delivery,BTM,north indian south indian quick bites btm
Mad Over Biryani,Yes,No,3.3,8,JP Nagar,"Takeaway, Delivery","Biryani, North Indian",600,Delivery,Bannerghatta Road,biryani north indian takeaway delivery bannerghattaroad
Al-Shadab Cafe,No,No,3.700448817952718,0,Kammanahalli,Quick Bites,"Biryani, Kebab",200,Dine-out,Kalyan Nagar,biryani kebab quick bites kalyannagar
Tasty Khaana Khazana,Yes,No,3.3,6,Bommanahalli,Quick Bites,North Indian,300,Delivery,BTM,north indian quick bites btm
Hyderabadi Biryani House,No,No,3.700448817952718,0,BTM,Quick Bites,Biryani,300,Delivery,BTM,biryani quick bites btm
Bhaiyajees,No,No,3.7,16,Richmond Road,"Takeaway, Delivery","North Indian, South Indian",300,Delivery,Brigade Road,north indian south indian takeaway delivery brigaderoad
Cafe Talkhouse,Yes,No,3.8,23,HSR,Quick Bites,North Indian,400,Delivery,Bellandur,north indian quick bites bellandur
The Market - The Ritz-Carlton,No,Yes,4.3,622,Residency Road,Fine Dining,"North Indian, European, Thai","3,400",Buffet,Brigade Road,north indian european thai fine dining brigaderoad
Shree Sagar Veg Fast Food,No,No,3.700448817952718,0,Majestic,Quick Bites,South Indian,150,Delivery,Lavelle Road,south indian quick bites lavelleroad
Tea Totallers,Yes,No,2.9,19,Bellandur,Cafe,"Cafe, Continental, Tea",500,Cafes,Bellandur,cafe continental tea cafe bellandur
Taste Buds,No,No,3.700448817952718,0,New BEL Road,Quick Bites,"South Indian, Kerala, North Indian",200,Delivery,New BEL Road,south indian kerala north indian quick bites newbelroad
Lan Thai,No,No,4.0,66,New BEL Road,Casual Dining,Thai,800,Delivery,New BEL Road,thai casual dining newbelroad
Sri's Kitchen,No,No,3.700448817952718,0,JP Nagar,Takeaway,"North Indian, South Indian, Chinese",300,Delivery,Jayanagar,north indian south indian chinese takeaway jayanagar
Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari,north indian chinese momos rolls quick bites banashankari
Sri Basaveshwara U.K Foods,No,No,3.700448817952718,0,Majestic,Quick Bites,South Indian,150,Delivery,Lavelle Road,south indian quick bites lavelleroad
Indian Tava Phasta,No,No,3.700448817952718,0,Electronic City,Quick Bites,"North Indian, Rolls",250,Dine-out,Electronic City,north indian rolls quick bites electroniccity
Hunger Nights,No,No,3.700448817952718,0,JP Nagar,Delivery,"Chinese, North Indian",400,Delivery,Bannerghatta Road,chinese north indian delivery bannerghattaroad
Kolkata Rolls & Fast food,Yes,No,3.6,52,HSR,Quick Bites,"Rolls, Fast Food",200,Delivery,Sarjapur Road,rolls fast food quick bites sarjapurroad
KKR Foodies,Yes,No,3.7,37,BTM,Casual Dining,"Biryani, Chinese, Fast Food, North Indian",400,Delivery,BTM,biryani chinese fast food north indian casual dining btm
House of Mandarin,No,No,3.3,4,HSR,Quick Bites,Chinese,300,Dine-out,HSR,chinese quick bites hsr
Snaiksa Foods,No,No,3.700448817952718,0,HSR,Quick Bites,"North Indian, South Indian",300,Delivery,BTM,north indian south indian quick bites btm
Steaming Mugs,Yes,No,3.9,240,Basavanagudi,Cafe,Cafe,700,Delivery,Banashankari,cafe cafe banashankari
Atithi Food Park,Yes,No,3.700448817952718,0,Marathahalli,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,Bellandur,south indian north indian chinese casual dining bellandur
Chamarajpet Non Veg Restaurant,No,No,3.6,13,Basavanagudi,Quick Bites,"South Indian, Biryani",200,Dine-out,Basavanagudi,south indian biryani quick bites basavanagudi
Shetty's Kitchen,Yes,No,3.7,108,Bannerghatta Road,Quick Bites,Mangalorean,600,Delivery,Bannerghatta Road,mangalorean quick bites bannerghattaroad
Rayalaseema Ruchulu,Yes,No,3.700448817952718,0,BTM,Casual Dining,"Andhra, North Indian",700,Delivery,BTM,andhra north indian casual dining btm
Jashn - Le Meridien,No,No,3.7,47,Sankey Road,Fine Dining,"North Indian, Mughlai","2,000",Dine-out,Lavelle Road,north indian mughlai fine dining lavelleroad
Eat Eroo - Bombay Vada Pav,Yes,No,4.0,306,Marathahalli,Quick Bites,Street Food,150,Delivery,Brookefield,street food quick bites brookefield
Utopia,No,No,2.8,59,Marathahalli,Casual Dining,"North Indian, Chinese",550,Delivery,Brookefield,north indian chinese casual dining brookefield
Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari,street food fast food quick bites banashankari
Smally's Resto Cafe,Yes,No,4.3,3547,Church Street,Cafe,"Cafe, Italian, Burger, American, Steak",650,Cafes,Brigade Road,cafe italian burger american steak cafe brigaderoad
A1 Ambur Biryani,No,No,3.700448817952718,0,Shivajinagar,Quick Bites,Biryani,200,Dine-out,Brigade Road,biryani quick bites brigaderoad
Venad Kitchen,Yes,No,3.8,93,Kaggadasapura,"Takeaway, Delivery",Kerala,300,Delivery,Marathahalli,kerala takeaway delivery marathahalli
Swadist Pakhal Restaurant,Yes,No,3.5,16,Sarjapur Road,Casual Dining,"North Indian, Chinese, Bengali",550,Delivery,Sarjapur Road,north indian chinese bengali casual dining sarjapurroad
Alankrutha,Yes,No,3.9,255,BTM,Casual Dining,"Andhra, Biryani, North Indian, Chinese",500,Delivery,Bannerghatta Road,andhra biryani north indian chinese casual dining bannerghattaroad
Fill N Chill Resto Bar & Pub,Yes,Yes,3.9,597,Koramangala 4th Block,Bar,"Finger Food, North Indian, Chinese","1,200",Delivery,BTM,finger food north indian chinese bar btm
Hungrill Barbeque,Yes,No,3.4,8,Kaggadasapura,Quick Bites,"BBQ, Rolls",300,Delivery,Marathahalli,bbq rolls quick bites marathahalli
Salt And Spice,No,No,3.2,77,Electronic City,Quick Bites,"North Indian, Kerala",450,Delivery,Electronic City,north indian kerala quick bites electroniccity
Joey's,No,No,3.7,43,BTM,Quick Bites,"Chinese, Fast Food",300,Delivery,Bannerghatta Road,chinese fast food quick bites bannerghattaroad
Sagar Restaurant & Chats,Yes,No,3.6,7,Vijay Nagar,Casual Dining,"South Indian, North Indian, Chinese",500,Delivery,Rajajinagar,south indian north indian chinese casual dining rajajinagar
Sweetypie,No,No,3.700448817952718,0,Rajajinagar,Bakery,Bakery,300,Delivery,Malleshwaram,bakery bakery malleshwaram
Pandit Ji Sweets & Namkeen,No,No,3.700448817952718,0,Electronic City,Quick Bites,"North Indian, Fast Food",300,Delivery,Electronic City,north indian fast food quick bites electroniccity
New Mogul Empire,Yes,No,3.4,5,JP Nagar,Quick Bites,"North Indian, Chinese",300,Delivery,Bannerghatta Road,north indian chinese quick bites bannerghattaroad
Pulla Reddy Sweets,No,No,3.7,28,Whitefield,Sweet Shop,Mithai,250,Delivery,Brookefield,mithai sweet shop brookefield
Patio - The Resto Cafe,Yes,No,3.7,73,Banaswadi,"Cafe, Quick Bites","Cafe, Continental, Chinese, Momos",500,Cafes,Kalyan Nagar,cafe continental chinese momos cafe quick bites kalyannagar
The Mangalorean,Yes,Yes,4.1,229,Kammanahalli,Casual Dining,"Konkan, Mangalorean, Seafood",550,Delivery,Frazer Town,konkan mangalorean seafood casual dining frazertown
Brewz Coffee,Yes,No,3.0,61,BTM,Cafe,Cafe,650,Delivery,Bannerghatta Road,cafe cafe bannerghattaroad
Cafe Zamorin,Yes,No,3.7,23,Hennur,Quick Bites,"Chinese, Kerala",300,Delivery,Kalyan Nagar,chinese kerala quick bites kalyannagar
Mother's Rasoi,Yes,No,3.8,170,Bannerghatta Road,Quick Bites,"North Indian, Chinese, Momos",250,Delivery,Bannerghatta Road,north indian chinese momos quick bites bannerghattaroad
Red Rhino,Yes,Yes,4.4,1980,Whitefield,"Microbrewery, Pub","Continental, Mediterranean, South Indian, North Indian, Asian","1,700",Delivery,Whitefield,continental mediterranean south indian north indian asian microbrewery pub whitefield
Five Satr Chiken,No,No,3.700448817952718,0,Bellandur,Quick Bites,Fast Food,300,Delivery,Bellandur,fast food quick bites bellandur
Coffee Tea & More,No,No,3.700448817952718,0,Bellandur,Quick Bites,"Fast Food, Coffee",100,Delivery,Bellandur,fast food coffee quick bites bellandur
Sri Sai Mango Tree Restaurant,No,No,3.6,336,Bellandur,Casual Dining,"North Indian, Biryani, Chinese",600,Delivery,Bellandur,north indian biryani chinese casual dining bellandur
Kanti's,No,No,3.1,63,Thippasandra,Sweet Shop,"Mithai, Street Food",150,Delivery,Indiranagar,mithai street food sweet shop indiranagar
Kinara Tiffany,No,No,3.6,15,Vasanth Nagar,Quick Bites,South Indian,100,Delivery,Church Street,south indian quick bites churchstreet
Casino Hotel,Yes,No,3.9,343,New BEL Road,Casual Dining,"North Indian, Chinese",500,Delivery,Malleshwaram,north indian chinese casual dining malleshwaram
Body Temple,Yes,No,3.3,12,BTM,Quick Bites,Healthy Food,500,Delivery,BTM,healthy food quick bites btm
Cave N Dine,Yes,Yes,3.1,405,Basaveshwara Nagar,"Casual Dining, Bar","North Indian, Chinese, Seafood",800,Delivery,Rajajinagar,north indian chinese seafood casual dining bar rajajinagar
Sai Shakti,No,No,4.0,212,Malleshwaram,Quick Bites,North Indian,250,Dine-out,Malleshwaram,north indian quick bites malleshwaram
Nesara Upahar,Yes,No,3.700448817952718,0,Electronic City,Quick Bites,"South Indian, Chinese, North Indian",250,Delivery,Electronic City,south indian chinese north indian quick bites electroniccity
Urban Kitchen,Yes,No,3.4,6,Banaswadi,Delivery,"Asian, North Indian",400,Delivery,Kalyan Nagar,asian north indian delivery kalyannagar
Ishta Cafe,Yes,No,3.9,63,Bannerghatta Road,Quick Bites,"Pizza, South Indian, Healthy Food",200,Delivery,Bannerghatta Road,pizza south indian healthy food quick bites bannerghattaroad
55 Wall Street,No,Yes,3.9,1763,JP Nagar,Bar,"Finger Food, North Indian, Chinese","1,300",Dine-out,Bannerghatta Road,finger food north indian chinese bar bannerghattaroad
Pet Full @ 99,Yes,No,3.1,15,Sarjapur Road,Quick Bites,North Indian,200,Delivery,Bellandur,north indian quick bites bellandur
Zaica Dine & Wine,Yes,Yes,3.8,818,Brookefield,"Casual Dining, Bar",North Indian,750,Buffet,Brookefield,north indian casual dining bar brookefield
RP Sweets,Yes,No,3.4,7,Bellandur,Quick Bites,"Mithai, Fast Food",300,Delivery,Bellandur,mithai fast food quick bites bellandur
Cheesecake Alley,No,No,3.1,8,HSR,Bakery,"Bakery, Desserts",400,Delivery,HSR,bakery desserts bakery hsr
Sendhoor Coffee,No,No,3.9,49,Indiranagar,Quick Bites,"Coffee, Street Food",150,Dine-out,Indiranagar,coffee street food quick bites indiranagar
Calicut Restaurant,Yes,No,3.6,76,Kammanahalli,Quick Bites,"Kerala, South Indian, North Indian, Chinese",450,Delivery,Frazer Town,kerala south indian north indian chinese quick bites frazertown
Quality Eat,Yes,No,3.700448817952718,0,Whitefield,Casual Dining,South Indian,400,Buffet,Brookefield,south indian casual dining brookefield
Big Bite,Yes,No,4.0,555,Vijay Nagar,"Quick Bites, Beverage Shop","Fast Food, Street Food, Beverages, Chinese",400,Delivery,Rajajinagar,fast food street food beverages chinese quick bites beverage shop rajajinagar
Flow - Terrace Bar & Grill,No,No,3.8,82,JP Nagar,"Lounge, Bar","Pizza, Continental, North Indian, Chinese","1,000",Delivery,Bannerghatta Road,pizza continental north indian chinese lounge bar bannerghattaroad
Iyer's Tiffin Centre,No,No,3.8,62,Banashankari,Quick Bites,"South Indian, Chinese",150,Dine-out,Banashankari,south indian chinese quick bites banashankari
Chaatora Ghar,No,No,3.700448817952718,0,Bellandur,Food Court,North Indian,200,Delivery,Bellandur,north indian food court bellandur
Hot & Cold Hut,Yes,No,3.0,46,Koramangala 4th Block,Quick Bites,"Fast Food, Rolls, Juices",200,Delivery,BTM,fast food rolls juices quick bites btm
Game Of Tandoors,Yes,No,3.7,241,Marathahalli,Quick Bites,"North Indian, Rolls",400,Delivery,Brookefield,north indian rolls quick bites brookefield
Crispy Clouds,No,No,3.700448817952718,0,New BEL Road,Delivery,"Bakery, Desserts",300,Delivery,New BEL Road,bakery desserts delivery newbelroad
Anmol Sweets And Snacks,No,No,3.700448817952718,0,Electronic City,Sweet Shop,"Mithai, Street Food, Fast Food",200,Dine-out,Electronic City,mithai street food fast food sweet shop electroniccity
Sitara Veg Restaurant,Yes,No,3.9,417,Electronic City,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,Electronic City,south indian north indian chinese quick bites electroniccity
Cafe On The Way,Yes,No,4.0,275,Koramangala 3rd Block,Cafe,Cafe,500,Cafes,Koramangala 4th Block,cafe cafe koramangala thblock
Urban Grills Restaurant,No,No,3.5,45,Whitefield,Casual Dining,"Arabian, North Indian, Biryani",700,Delivery,Whitefield,arabian north indian biryani casual dining whitefield
Foodiction,Yes,No,2.8,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari,north indian fast food chinese burger quick bites banashankari
SAATHVIK Cafe Chats,No,No,3.700448817952718,0,JP Nagar,Quick Bites,"North Indian, Street Food",250,Delivery,BTM,north indian street food quick bites btm
Red Pepper,No,No,3.700448817952718,0,Whitefield,Quick Bites,"North Indian, Bengali, Biryani, Mughlai",250,Delivery,Brookefield,north indian bengali biryani mughlai quick bites brookefield
Assi Tussi Lassi,Yes,No,3.6,25,Ejipura,Beverage Shop,"Beverages, Fast Food, Ice Cream",200,Delivery,Indiranagar,beverages fast food ice cream beverage shop indiranagar
Sri Vishnu Grand & Garden Restaurant,Yes,No,3.8,7,Sarjapur Road,Quick Bites,"South Indian, North Indian, Fast Food",500,Delivery,Bellandur,south indian north indian fast food quick bites bellandur
Cream & Fudge,Yes,No,3.1,6,Nagawara,Dessert Parlor,"Ice Cream, Desserts",250,Delivery,Kalyan Nagar,ice cream desserts dessert parlor kalyannagar
Desi Feast,No,No,3.700448817952718,0,"ITPL Main Road, Whitefield",Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,Whitefield,north indian chinese fast food quick bites whitefield
Keerthi Restaurant Andhra Style,Yes,No,3.700448817952718,0,Marathahalli,Quick Bites,Andhra,300,Delivery,Bellandur,andhra quick bites bellandur
Malabar Treat,Yes,No,3.4,6,Koramangala 1st Block,Quick Bites,"North Indian, Arabian, South Indian, Chinese",500,Delivery,BTM,north indian arabian south indian chinese quick bites btm
Sweenack Sweets,No,No,3.700448817952718,0,Kammanahalli,Sweet Shop,Mithai,400,Desserts,Kalyan Nagar,mithai sweet shop kalyannagar
Pockets and Bowls,No,No,3.3,5,Koramangala 3rd Block,Delivery,"Continental, Asian, North Indian",500,Delivery,Koramangala 4th Block,continental asian north indian delivery koramangala thblock
Patisserie Nitash,No,No,4.2,142,Frazer Town,Bakery,Bakery,500,Delivery,Frazer Town,bakery bakery frazertown
Dream Scoopers,No,No,3.4,16,Kalyan Nagar,Dessert Parlor,"Ice Cream, Desserts",200,Desserts,Kalyan Nagar,ice cream desserts dessert parlor kalyannagar
Jumping Beans,Yes,No,4.0,220,Old Madras Road,Cafe,"Cafe, North Indian, Chinese, Biryani, Beverages",850,Delivery,Indiranagar,cafe north indian chinese biryani beverages cafe indiranagar
Meal Square,Yes,No,3.2,8,Bannerghatta Road,Delivery,"North Indian, Chinese",600,Delivery,Bannerghatta Road,north indian chinese delivery bannerghattaroad
Aniram's,Yes,No,4.1,739,JP Nagar,Delivery,"Chinese, North Indian",500,Delivery,Bannerghatta Road,chinese north indian delivery bannerghattaroad
The Cheesecake Corner,No,No,3.7,48,BTM,"Takeaway, Delivery",Desserts,400,Delivery,BTM,desserts takeaway delivery btm
Lunchwala,No,No,3.700448817952718,0,Hennur,Delivery,"North Indian, Bengali",400,Delivery,Kalyan Nagar,north indian bengali delivery kalyannagar
Kerala Mess. SIJI's MESS,No,No,3.700448817952718,0,Ejipura,Mess,Kerala,100,Delivery,Koramangala 4th Block,kerala mess koramangala thblock
Wheat House,Yes,No,3.3,11,HSR,Quick Bites,"Kerala, South Indian, Fast Food",400,Delivery,HSR,kerala south indian fast food quick bites hsr
Waffle Magic,Yes,No,4.1,83,Koramangala 6th Block,Cafe,"Cafe, Desserts",700,Delivery,BTM,cafe desserts cafe btm
Flavour of China,Yes,No,3.8,254,BTM,Casual Dining,Chinese,550,Delivery,Bannerghatta Road,chinese casual dining bannerghattaroad
Munchies,Yes,No,3.9,64,Brigade Road,"Quick Bites, Bakery","Fast Food, Bakery",250,Delivery,Brigade Road,fast food bakery quick bites bakery brigaderoad
Tandoor And Spice,Yes,No,4.0,181,JP Nagar,Casual Dining,"North Indian, Chinese, Biryani, Hyderabadi",550,Delivery,Bannerghatta Road,north indian chinese biryani hyderabadi casual dining bannerghattaroad
Nonveg Dreams,No,No,3.700448817952718,0,Koramangala 2nd Block,Delivery,"North Indian, South Indian",400,Delivery,BTM,north indian south indian delivery btm
YumYumDilli,Yes,No,3.700448817952718,0,JP Nagar,Delivery,North Indian,500,Delivery,Bannerghatta Road,north indian delivery bannerghattaroad
Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,Banashankari,bbq arabian rolls chinese north indian juices kebab desserts casual dining banashankari
Just Bake,No,No,3.4,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery,Banashankari,bakery desserts bakery banashankari
Snacks Centre,No,No,3.700448817952718,0,Whitefield,Quick Bites,"Fast Food, North Indian",400,Delivery,Whitefield,fast food north indian quick bites whitefield
Kababish Sizzler,No,No,3.700448817952718,0,Electronic City,Quick Bites,"Biryani, North Indian, South Indian, Fast Food",250,Delivery,Electronic City,biryani north indian south indian fast food quick bites electroniccity
La Casa Brewery And Kitchen,Yes,Yes,4.4,1381,Sarjapur Road,"Microbrewery, Casual Dining","Finger Food, Continental, Seafood","1,500",Delivery,Bellandur,finger food continental seafood microbrewery casual dining bellandur
Sri Vishnu Park,Yes,No,3.8,99,BTM,Casual Dining,"South Indian, North Indian, Chinese",350,Delivery,BTM,south indian north indian chinese casual dining btm
The London Curry House - The Royale Senate Hotel,No,No,4.5,3953,Race Course Road,"Casual Dining, Bar","Pizza, North Indian, Modern Indian","1,300",Dine-out,Malleshwaram,pizza north indian modern indian casual dining bar malleshwaram
The Golden Spoon Restaurant Meat & Wine,No,No,3.5,14,Koramangala 7th Block,Casual Dining,"Chinese, North Indian","1,000",Dine-out,BTM,chinese north indian casual dining btm
The Urban Roof,Yes,No,3.9,77,Kalyan Nagar,Casual Dining,"Italian, Chinese, Continental",800,Delivery,Kalyan Nagar,italian chinese continental casual dining kalyannagar
Delitz Creamvilla Cafe,Yes,No,4.0,74,Bellandur,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream",600,Cafes,Bellandur,cafe desserts ice cream cafe dessert parlor bellandur
Sigree Global Grill,No,Yes,4.4,1099,Kalyan Nagar,"Casual Dining, Bar","North Indian, BBQ","1,400",Buffet,Kalyan Nagar,north indian bbq casual dining bar kalyannagar
24 Hours Cake Delivery,No,No,3.700448817952718,0,Electronic City,Delivery,Bakery,700,Delivery,Electronic City,bakery delivery electroniccity
Shudh Desi Khana,Yes,No,3.5,18,Koramangala 1st Block,Quick Bites,"North Indian, Chinese",200,Delivery,BTM,north indian chinese quick bites btm
Bikaner Jn,Yes,No,3.9,85,JP Nagar,Quick Bites,Rajasthani,300,Delivery,Bannerghatta Road,rajasthani quick bites bannerghattaroad
Charisma's Matru Sagar,No,No,3.700448817952718,0,Mysore Road,Quick Bites,"South Indian, Chinese",150,Dine-out,Banashankari,south indian chinese quick bites banashankari
Lee Momoz,No,No,3.2,4,Sarjapur Road,Quick Bites,"Chinese, Tibetan, Momos",250,Dine-out,Sarjapur Road,chinese tibetan momos quick bites sarjapurroad
Fish N Spice,No,No,3.700448817952718,0,Frazer Town,Casual Dining,"Chinese, Continental",500,Dine-out,Frazer Town,chinese continental casual dining frazertown
Ente Keralam,Yes,No,4.0,1096,Ulsoor,Casual Dining,"Kerala, Seafood","1,300",Delivery,Brigade Road,kerala seafood casual dining brigaderoad
Rolls Plaza,Yes,No,3.7,61,Marathahalli,Quick Bites,"Fast Food, Chinese, Rolls",200,Delivery,Brookefield,fast food chinese rolls quick bites brookefield
Shree Annapoorneshwari Mess,No,No,3.3,7,Indiranagar,Mess,South Indian,200,Dine-out,Indiranagar,south indian mess indiranagar
Tikka Kebab,Yes,No,3.7,69,Electronic City,Quick Bites,"Kebab, North Indian, Chinese",250,Delivery,Electronic City,kebab north indian chinese quick bites electroniccity
ILA Kitchen,No,No,3.7,14,Banaswadi,Casual Dining,Kerala,500,Delivery,Kalyan Nagar,kerala casual dining kalyannagar
On the Go Cafeteria,No,No,3.700448817952718,0,Bellandur,Takeaway,"Fast Food, Cafe",200,Cafes,Bellandur,fast food cafe takeaway bellandur
Kobe Sizzlers,Yes,No,4.1,1117,Brigade Road,Casual Dining,"American, Continental, Fast Food, Steak","1,500",Delivery,Brigade Road,american continental fast food steak casual dining brigaderoad
Pot-O-Noodles,No,No,4.5,60,Indiranagar,Casual Dining,"Chinese, Asian, Japanese",800,Dine-out,Indiranagar,chinese asian japanese casual dining indiranagar
Punjabi Unplugged,Yes,No,3.700448817952718,0,Bannerghatta Road,Quick Bites,North Indian,500,Delivery,Bannerghatta Road,north indian quick bites bannerghattaroad
Cariocake,No,No,3.9,56,JP Nagar,Bakery,"Bakery, Desserts",350,Delivery,Jayanagar,bakery desserts bakery jayanagar
Srinidhi Real Food,No,No,3.6,26,Vasanth Nagar,Quick Bites,"South Indian, Chinese, Fast Food",200,Dine-out,Brigade Road,south indian chinese fast food quick bites brigaderoad
Al Baith,No,No,3.700448817952718,0,Koramangala 7th Block,Quick Bites,"North Indian, Chinese",300,Delivery,BTM,north indian chinese quick bites btm
Smokey Tribe Restaurant,Yes,No,3.8,264,Koramangala 7th Block,Casual Dining,"North Eastern, Chinese",650,Delivery,BTM,north eastern chinese casual dining btm
Byblos,Yes,Yes,4.2,1347,Indiranagar,Casual Dining,"Lebanese, Arabian, Middle Eastern, Salad, Beverages","1,700",Delivery,Frazer Town,lebanese arabian middle eastern salad beverages casual dining frazertown
Sufra Restaurant,Yes,Yes,3.7,111,HSR,Casual Dining,"North Indian, Chinese",800,Delivery,BTM,north indian chinese casual dining btm
Food Planet,No,No,3.1,5,Electronic City,Quick Bites,"North Indian, Chinese, Kerala",400,Delivery,Electronic City,north indian chinese kerala quick bites electroniccity
Senthur Cafe,No,No,3.700448817952718,0,Koramangala 7th Block,Quick Bites,"South Indian, Beverages",100,Dine-out,BTM,south indian beverages quick bites btm
Basaveshwara Khanavali Rotti House,No,No,3.700448817952718,0,Marathahalli,Quick Bites,North Indian,150,Dine-out,Marathahalli,north indian quick bites marathahalli
Nitehunger,Yes,No,2.6,119,Marathahalli,"Takeaway, Delivery","North Indian, Chinese",500,Delivery,Brookefield,north indian chinese takeaway delivery brookefield
The Juice Shop,No,No,3.700448817952718,0,Electronic City,Quick Bites,"Juices, North Indian",200,Delivery,Electronic City,juices north indian quick bites electroniccity
Hatti Punjab Di,No,No,3.700448817952718,0,Jayanagar,Casual Dining,"North Indian, Chinese",600,Delivery,Basavanagudi,north indian chinese casual dining basavanagudi
Samruddhi - The Perfect Dine,No,No,3.700448817952718,0,Basaveshwara Nagar,Casual Dining,"South Indian, North Indian, Arabian, Continental",600,Delivery,Rajajinagar,south indian north indian arabian continental casual dining rajajinagar
Golawala,No,No,3.700448817952718,0,Rajajinagar,Dessert Parlor,Desserts,200,Desserts,Rajajinagar,desserts dessert parlor rajajinagar
Dalchini,No,No,4.0,225,Bellandur,Casual Dining,North Indian,700,Dine-out,Bellandur,north indian casual dining bellandur
Cafe Monarch Luxur,No,No,3.8,23,Infantry Road,Casual Dining,"North Indian, South Indian, Chinese, Fast Food",800,Buffet,Brigade Road,north indian south indian chinese fast food casual dining brigaderoad
Ministry of Food - Hilton Bangalore Embassy GolfLinks,No,Yes,4.2,468,Domlur,Fine Dining,"North Indian, Asian, South Indian, Italian, European","3,000",Buffet,Koramangala 4th Block,north indian asian south indian italian european fine dining koramangala thblock
The Bundle Co.,Yes,No,4.4,222,MG Road,Quick Bites,"Burger, Continental, Italian, Beverages",700,Delivery,Brigade Road,burger continental italian beverages quick bites brigaderoad
NISO Chinese Restaurant,No,No,3.9,36,KR Puram,Quick Bites,"Chinese, Momos",350,Delivery,Whitefield,chinese momos quick bites whitefield
Godhavari,No,No,3.3,4,Marathahalli,Casual Dining,"Seafood, Andhra","1,000",Delivery,Marathahalli,seafood andhra casual dining marathahalli
Pabrai's Fresh and Naturelle Icecreams,No,No,3.7,118,BTM,Dessert Parlor,"Ice Cream, Desserts",300,Delivery,BTM,ice cream desserts dessert parlor btm
Daily Bite,Yes,No,3.5,14,Richmond Road,Quick Bites,"Desserts, Fast Food",250,Delivery,Brigade Road,desserts fast food quick bites brigaderoad
Hotel Palace,Yes,No,3.7,24,HSR,Quick Bites,"Biryani, Chinese",250,Delivery,BTM,biryani chinese quick bites btm
The Tasty Food,No,No,3.700448817952718,0,Electronic City,Delivery,North Indian,200,Delivery,Electronic City,north indian delivery electroniccity
NGV Fast Food,No,No,3.5,8,Koramangala 6th Block,Quick Bites,"North Indian, Fast Food",250,Delivery,Koramangala 4th Block,north indian fast food quick bites koramangala thblock
Akkad Bakkad,Yes,Yes,3.9,72,Electronic City,Casual Dining,"North Indian, Chinese",600,Delivery,Electronic City,north indian chinese casual dining electroniccity
Hotel Malabar Palace,No,No,3.700448817952718,0,Seshadripuram,Quick Bites,"Biryani, Chinese, Kebab, Kerala, North Indian",350,Delivery,Malleshwaram,biryani chinese kebab kerala north indian quick bites malleshwaram
Amaravati,No,No,3.6,39,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,BTM,north indian chinese quick bites btm
Shakes Theory,Yes,No,4.5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,Delivery,Banashankari,beverages sandwich beverage shop banashankari
Nellore Abhiruchi,Yes,No,3.3,7,HSR,Quick Bites,"Biryani, South Indian",300,Delivery,HSR,biryani south indian quick bites hsr
